trade_id,entry_time,entry_idx,entry_price,prob_tp,prob_sl,confidence,exit_time,exit_price,exit_type,pnl_pct,bars_held,result
148,2025-12-20 01:00,353,"$2,977.93",54.34%,45.66%,8.7%,2025-12-21 01:00,"$2,955.60",SL,-0.75%,1,LOSS
149,2025-12-22 01:00,355,"$3,009.49",57.24%,42.76%,14.5%,2025-12-23 01:00,"$2,986.92",SL,-0.75%,1,LOSS
150,2025-12-28 01:00,361,"$2,950.91",53.31%,46.69%,6.6%,2025-12-29 01:00,"$2,995.17",TP,+1.50%,1,WIN
151,2026-01-04 01:00,368,"$3,144.70",58.96%,41.04%,17.9%,2026-01-05 01:00,"$3,191.87",TP,+1.50%,1,WIN
152,2026-01-06 01:00,370,"$3,296.84",67.54%,32.46%,35.1%,2026-01-07 01:00,"$3,272.11",SL,-0.75%,1,LOSS
153,2026-01-08 01:00,372,"$3,106.65",51.51%,48.49%,3.0%,2026-01-09 01:00,"$3,083.35",SL,-0.75%,1,LOSS
154,2026-01-10 01:00,374,"$3,086.72",57.21%,42.79%,14.4%,2026-01-11 01:00,"$3,133.02",TP,+1.50%,1,WIN
155,2026-01-12 01:00,376,"$3,095.75",53.28%,46.72%,6.6%,2026-01-13 01:00,"$3,142.19",TP,+1.50%,1,WIN
156,2026-01-14 01:00,378,"$3,354.92",60.24%,39.76%,20.5%,2026-01-15 01:00,"$3,329.76",SL,-0.75%,1,LOSS
157,2026-01-16 01:00,380,"$3,296.28",58.65%,41.35%,17.3%,2026-01-18 01:00,"$3,345.72",TP,+1.50%,2,WIN
158,2026-01-19 01:00,383,"$3,189.55",59.22%,40.78%,18.4%,2026-01-20 01:00,"$3,165.63",SL,-0.75%,1,LOSS
159,2026-01-21 01:00,385,"$2,982.27",58.41%,41.59%,16.8%,2026-01-22 01:00,"$3,027.00",TP,+1.50%,1,WIN
160,2026-01-30 01:00,394,"$2,707.38",55.50%,44.50%,11.0%,2026-01-31 01:00,"$2,687.07",SL,-0.75%,1,LOSS
161,2026-02-01 01:00,396,"$2,270.15",63.76%,36.24%,27.5%,2026-02-02 01:00,"$2,304.20",TP,+1.50%,1,WIN
162,2026-02-03 01:00,398,"$2,233.72",58.28%,41.72%,16.6%,2026-02-04 01:00,"$2,267.23",TP,+1.50%,1,WIN
163,2026-02-05 01:00,400,"$1,826.83",66.58%,33.42%,33.2%,2026-02-06 01:00,"$1,854.23",TP,+1.50%,1,WIN
164,2026-02-07 01:00,402,"$2,087.08",64.80%,35.20%,29.6%,2026-02-08 01:00,"$2,118.39",TP,+1.50%,1,WIN
165,2026-02-09 01:00,404,"$2,105.02",68.12%,31.88%,36.2%,2026-02-10 01:00,"$2,089.23",SL,-0.75%,1,LOSS
166,2026-02-11 01:00,406,"$1,941.18",58.42%,41.58%,16.8%,2026-02-12 01:00,"$1,970.30",TP,+1.50%,1,WIN
167,2026-02-15 01:00,410,"$1,966.58",58.66%,41.34%,17.3%,2026-02-16 01:00,"$1,996.08",TP,+1.50%,1,WIN
168,2026-02-17 01:00,412,"$1,991.66",63.63%,36.37%,27.3%,2026-02-18 01:00,"$2,021.53",TP,+1.50%,1,WIN
169,2026-02-19 01:00,414,"$1,949.08",54.94%,45.06%,9.9%,2026-02-20 01:00,"$1,978.32",TP,+1.50%,1,WIN
170,2026-02-21 01:00,416,"$1,973.35",59.94%,40.06%,19.9%,2026-02-22 01:00,"$1,958.55",SL,-0.75%,1,LOSS
171,2026-02-23 01:00,418,"$1,856.30",53.64%,46.36%,7.3%,2026-02-24 01:00,"$1,842.38",SL,-0.75%,1,LOSS
172,2026-02-26 01:00,421,"$2,027.68",50.19%,49.81%,0.4%,2026-02-27 01:00,"$2,058.10",TP,+1.50%,1,WIN
173,2026-02-28 01:00,423,"$1,964.51",52.16%,47.84%,4.3%,2026-03-01 01:00,"$1,993.98",TP,+1.50%,1,WIN
174,2026-03-02 01:00,425,"$2,027.35",51.08%,48.92%,2.2%,2026-03-03 01:00,"$2,012.14",SL,-0.75%,1,LOSS
175,2026-03-05 01:00,428,"$2,072.86",57.77%,42.23%,15.5%,2026-03-06 01:00,"$2,057.31",SL,-0.75%,1,LOSS
176,2026-03-07 01:00,430,"$1,969.59",58.25%,41.75%,16.5%,2026-03-08 01:00,"$1,954.82",SL,-0.75%,1,LOSS
177,2026-03-11 01:00,434,"$2,051.97",52.64%,47.36%,5.3%,2026-03-12 01:00,"$2,082.75",TP,+1.50%,1,WIN
178,2026-03-13 01:00,436,"$2,092.22",54.23%,45.77%,8.5%,2026-03-14 01:00,"$2,076.53",SL,-0.75%,1,LOSS
179,2026-03-15 01:00,438,"$2,178.30",53.76%,46.24%,7.5%,2026-03-16 01:00,"$2,210.97",TP,+1.50%,1,WIN
180,2026-03-17 01:00,440,"$2,317.39",74.70%,25.30%,49.4%,2026-03-18 01:00,"$2,300.01",SL,-0.75%,1,LOSS
181,2026-03-19 01:00,442,"$2,137.81",65.04%,34.96%,30.1%,2026-03-20 01:00,"$2,169.88",TP,+1.50%,1,WIN
182,2026-03-21 01:00,444,"$2,084.87",74.35%,25.65%,48.7%,2026-03-22 01:00,"$2,116.14",TP,+1.50%,1,WIN
183,2026-03-23 01:00,446,"$2,152.03",55.11%,44.89%,10.2%,2026-03-24 01:00,"$2,135.89",SL,-0.75%,1,LOSS
